,時刻,K [ﾟC],WT [ﾟC],MG [ﾟC],SC [ﾟC],No5 [V],No6 [V],No7 [V],No8 [V],No9 [V],No10 [V],No11 [V],No12 [V]
2021/10/13,13:26:00,19.46,20.81,20.85,20.7,0,0,0,0,0,0,0,0
2021/10/13,13:26:05,19.49,20.81,20.84,20.69,0,0,0,0,0,0,0,0
2021/10/13,13:26:10,13.56,20.79,20.83,20.69,0,0,0,0,0,0,0,0
2021/10/13,13:26:15,-0.52,20.71,20.73,20.63,0,0,0,0,0,0,0,0
2021/10/13,13:26:20,-6.75,20.66,20.66,20.58,0,0,0,0,0,0,0,0
2021/10/13,13:26:25,-11.2,20.56,20.59,20.55,0,0,0,0,0,0,0,0
2021/10/13,13:26:30,-13.86,20.3,20.39,20.54,0,0,0,0,0,0,0,0
2021/10/13,13:26:35,-15.29,20.03,20.1,20.48,0,0,0,0,0,0,0,0
2021/10/13,13:26:40,-16.21,19.75,19.8,20.44,0,0,0,0,0,0,0,0
2021/10/13,13:26:45,-17.02,19.45,19.48,20.35,0,0,0,0,0,0,0,0
2021/10/13,13:26:50,-17.24,19.27,19.2,20.22,0,0,0,0,0,0,0,0
2021/10/13,13:26:55,-16.95,18.96,18.88,20.07,0,0,0,0,0,0,0,0
2021/10/13,13:27:00,-17.01,18.66,18.59,19.91,0,0,0,0,0,0,0,0
2021/10/13,13:27:05,-17.5,18.32,18.28,19.69,0,0,0,0,0,0,0,0
2021/10/13,13:27:10,-17.31,17.98,17.98,19.5,0,0,0,0,0,0,0,0
2021/10/13,13:27:15,-17.5,17.66,17.66,19.28,0,0,0,0,0,0,0,0
2021/10/13,13:27:20,-17.89,17.33,17.35,19.05,0,0,0,0,0,0,0,0
2021/10/13,13:27:25,-17.85,16.98,17.03,18.79,0,0,0,0,0,0,0,0
2021/10/13,13:27:30,-18.53,16.67,16.74,18.53,0,0,0,0,0,0,0,0
2021/10/13,13:27:35,-18.31,16.34,16.41,18.26,0,0,0,0,0,0,0,0
2021/10/13,13:27:40,-18.54,16.02,16.11,17.98,0,0,0,0,0,0,0,0
2021/10/13,13:27:45,-18.95,15.71,15.81,17.7,0,0,0,0,0,0,0,0
2021/10/13,13:27:50,-19.18,15.4,15.49,17.41,0,0,0,0,0,0,0,0
2021/10/13,13:27:55,-19.34,15.07,15.18,17.14,0,0,0,0,0,0,0,0
2021/10/13,13:28:00,-19.19,14.77,14.86,16.85,0,0,0,0,0,0,0,0
2021/10/13,13:28:05,-19.51,14.45,14.56,16.55,0,0,0,0,0,0,0,0
2021/10/13,13:28:10,-19.89,14.15,14.24,16.23,0,0,0,0,0,0,0,0
2021/10/13,13:28:15,-19.71,13.83,13.91,15.96,0,0,0,0,0,0,0,0
2021/10/13,13:28:20,-19.84,13.53,13.61,15.66,0,0,0,0,0,0,0,0
2021/10/13,13:28:25,-20.12,13.23,13.31,15.36,0,0,0,0,0,0,0,0
2021/10/13,13:28:30,-20.18,12.91,12.99,15.05,0,0,0,0,0,0,0,0
2021/10/13,13:28:35,-20.29,12.58,12.68,14.75,0,0,0,0,0,0,0,0
2021/10/13,13:28:40,-20.12,12.29,12.36,14.46,0,0,0,0,0,0,0,0
2021/10/13,13:28:45,-20.77,11.97,12.04,14.15,0,0,0,0,0,0,0,0
2021/10/13,13:28:50,-21.05,11.66,11.75,13.85,0,0,0,0,0,0,0,0
2021/10/13,13:28:55,-20.52,11.37,11.42,13.54,0,0,0,0,0,0,0,0
2021/10/13,13:29:00,-20.36,11.05,11.12,13.25,0,0,0,0,0,0,0,0
2021/10/13,13:29:05,-20.52,10.75,10.82,12.95,0,0,0,0,0,0,0,0
2021/10/13,13:29:10,-21.12,10.46,10.49,12.65,0,0,0,0,0,0,0,0
2021/10/13,13:29:15,-21.25,10.14,10.17,12.36,0,0,0,0,0,0,0,0
2021/10/13,13:29:20,-20.6,9.85,9.83,12.04,0,0,0,0,0,0,0,0
2021/10/13,13:29:25,-21.19,9.55,9.44,11.74,0,0,0,0,0,0,0,0
2021/10/13,13:29:30,-21.61,9.25,8.96,11.45,0,0,0,0,0,0,0,0
2021/10/13,13:29:35,-21.95,8.96,8.37,11.15,0,0,0,0,0,0,0,0
2021/10/13,13:29:40,-21.92,8.7,7.61,10.85,0,0,0,0,0,0,0,0
2021/10/13,13:29:45,-21.69,8.41,6.77,10.56,0,0,0,0,0,0,0,0
2021/10/13,13:29:50,-22.04,8.16,5.95,10.27,0,0,0,0,0,0,0,0
2021/10/13,13:29:55,-21.89,7.9,5.25,9.98,0,0,0,0,0,0,0,0
2021/10/13,13:30:00,-22.12,7.65,4.63,9.68,0,0,0,0,0,0,0,0
2021/10/13,13:30:05,-21.73,7.41,4.13,9.39,0,0,0,0,0,0,0,0
2021/10/13,13:30:10,-22.25,7.21,3.7,9.08,0,0,0,0,0,0,0,0
2021/10/13,13:30:15,-22.09,6.99,3.38,8.78,0,0,0,0,0,0,0,0
2021/10/13,13:30:20,-21.93,6.77,3.13,8.5,0,0,0,0,0,0,0,0
2021/10/13,13:30:25,-22.04,6.57,2.93,8.19,0,0,0,0,0,0,0,0
2021/10/13,13:30:30,-21.48,6.35,2.65,7.9,0,0,0,0,0,0,0,0
2021/10/13,13:30:35,-21.34,6.13,2.21,7.61,0,0,0,0,0,0,0,0
2021/10/13,13:30:40,-21.6,5.88,1.65,7.32,0,0,0,0,0,0,0,0
2021/10/13,13:30:45,-21.41,5.62,1.14,7.04,0,0,0,0,0,0,0,0
2021/10/13,13:30:50,-21.63,5.32,0.72,6.75,0,0,0,0,0,0,0,0
2021/10/13,13:30:55,-21.67,5.03,0.41,6.48,0,0,0,0,0,0,0,0
2021/10/13,13:31:00,-21.58,4.71,0.13,6.21,0,0,0,0,0,0,0,0
2021/10/13,13:31:05,-21.44,4.38,-0.12,5.97,0,0,0,0,0,0,0,0
2021/10/13,13:31:10,-21.69,4.07,-0.36,5.7,0,0,0,0,0,0,0,0
2021/10/13,13:31:15,-21.42,3.77,-0.59,5.47,0,0,0,0,0,0,0,0
2021/10/13,13:31:20,-21.29,3.46,-0.84,5.23,0,0,0,0,0,0,0,0
2021/10/13,13:31:25,-21.22,3.2,-1.08,5,0,0,0,0,0,0,0,0
2021/10/13,13:31:30,-21.23,2.93,-1.32,4.78,0,0,0,0,0,0,0,0
2021/10/13,13:31:35,-21.29,2.7,-1.59,4.57,0,0,0,0,0,0,0,0
2021/10/13,13:31:40,-21.27,2.5,-1.87,4.36,0,0,0,0,0,0,0,0
2021/10/13,13:31:45,-21.48,2.33,-2.16,4.16,0,0,0,0,0,0,0,0
2021/10/13,13:31:50,-21.41,2.21,-2.44,3.96,0,0,0,0,0,0,0,0
2021/10/13,13:31:55,-21.55,2.1,-2.73,3.78,0,0,0,0,0,0,0,0
2021/10/13,13:32:00,-21.75,1.98,-3.01,3.6,0,0,0,0,0,0,0,0
2021/10/13,13:32:05,-21.86,1.89,-3.28,3.42,0,0,0,0,0,0,0,0
2021/10/13,13:32:10,-22.07,1.8,-3.56,3.26,0,0,0,0,0,0,0,0
2021/10/13,13:32:15,-22.31,1.71,-3.86,3.11,0,0,0,0,0,0,0,0
2021/10/13,13:32:20,-22.22,1.64,-4.11,2.94,0,0,0,0,0,0,0,0
2021/10/13,13:32:25,-22.63,1.54,-4.37,2.79,0,0,0,0,0,0,0,0
2021/10/13,13:32:30,-22.85,1.47,-4.64,2.62,0,0,0,0,0,0,0,0
2021/10/13,13:32:35,-22.74,1.39,-4.89,2.48,0,0,0,0,0,0,0,0
2021/10/13,13:32:40,-22.73,1.31,-5.13,2.34,0,0,0,0,0,0,0,0
2021/10/13,13:32:45,-22.98,1.24,-5.37,2.22,0,0,0,0,0,0,0,0
2021/10/13,13:32:50,-23.07,1.17,-5.62,2.07,0,0,0,0,0,0,0,0
2021/10/13,13:32:55,-23.09,1.08,-5.86,1.94,0,0,0,0,0,0,0,0
2021/10/13,13:33:00,-23.53,1.03,-6.12,1.83,0,0,0,0,0,0,0,0
2021/10/13,13:33:05,-23.58,0.95,-6.37,1.69,0,0,0,0,0,0,0,0
2021/10/13,13:33:10,-23.63,0.89,-6.63,1.58,0,0,0,0,0,0,0,0
2021/10/13,13:33:15,-23.53,0.82,-6.87,1.47,0,0,0,0,0,0,0,0
2021/10/13,13:33:20,-23.67,0.75,-7.13,1.38,0,0,0,0,0,0,0,0
2021/10/13,13:33:25,-24.42,0.7,-7.39,1.28,0,0,0,0,0,0,0,0
2021/10/13,13:33:30,-24.19,0.63,-7.61,1.17,0,0,0,0,0,0,0,0
2021/10/13,13:33:35,-24.07,0.67,-7.76,1.19,0,0,0,0,0,0,0,0
2021/10/13,13:33:40,-25.12,0.62,-8.02,1.09,0,0,0,0,0,0,0,0
2021/10/13,13:33:45,-25.09,0.56,-8.26,0.99,0,0,0,0,0,0,0,0
2021/10/13,13:33:50,-25.21,0.52,-8.48,0.91,0,0,0,0,0,0,0,0
2021/10/13,13:33:55,-26.25,0.48,-8.72,0.83,0,0,0,0,0,0,0,0
2021/10/13,13:34:00,-26.36,0.42,-8.96,0.76,0,0,0,0,0,0,0,0
2021/10/13,13:34:05,-26.31,0.4,-9.22,0.67,0,0,0,0,0,0,0,0
2021/10/13,13:34:10,-26.4,0.36,-9.46,0.6,0,0,0,0,0,0,0,0
2021/10/13,13:34:15,-26.58,0.31,-9.67,0.54,0,0,0,0,0,0,0,0
2021/10/13,13:34:20,-27.08,0.27,-9.91,0.47,0,0,0,0,0,0,0,0
2021/10/13,13:34:25,-27.12,0.24,0.36,0.41,0,0,0,0,0,0,0,0
2021/10/13,13:34:30,-26.39,0.23,0.36,0.34,0,0,0,0,0,0,0,0
2021/10/13,13:34:35,-26.03,0.19,0.34,0.29,0,0,0,0,0,0,0,0
2021/10/13,13:34:40,-26.31,0.18,0.34,0.23,0,0,0,0,0,0,0,0
2021/10/13,13:34:45,-26.53,0.15,0.33,0.19,0,0,0,0,0,0,0,0
2021/10/13,13:34:50,-26.43,0.11,0.34,0.12,0,0,0,0,0,0,0,0
2021/10/13,13:34:55,-26.52,0.08,0.33,0.06,0,0,0,0,0,0,0,0
2021/10/13,13:35:00,-26.81,0.06,0.33,0.04,0,0,0,0,0,0,0,0
2021/10/13,13:35:05,-26.72,0.05,0.33,0,0,0,0,0,0,0,0,0
2021/10/13,13:35:10,-26.91,0.04,0.31,-0.05,0,0,0,0,0,0,0,0
2021/10/13,13:35:15,-27.4,0.02,0.34,-0.1,0,0,0,0,0,0,0,0
2021/10/13,13:35:20,-27.33,0.01,0.33,-0.14,0,0,0,0,0,0,0,0
2021/10/13,13:35:25,-27.28,-0.02,0.33,-0.16,0,0,0,0,0,0,0,0
2021/10/13,13:35:30,-27.5,-0.05,0.31,-0.2,0,0,0,0,0,0,0,0
2021/10/13,13:35:35,-28.37,-0.06,0.33,-0.23,0,0,0,0,0,0,0,0
2021/10/13,13:35:40,-28.05,-0.09,0.33,-0.25,0,0,0,0,0,0,0,0
2021/10/13,13:35:45,-28.48,-0.1,0.3,-0.3,0,0,0,0,0,0,0,0
2021/10/13,13:35:50,-28.92,-0.12,0.3,-0.32,0,0,0,0,0,0,0,0
2021/10/13,13:35:55,-28.54,-0.13,0.3,-0.35,0,0,0,0,0,0,0,0
2021/10/13,13:36:00,-28.76,-0.14,0.3,-0.36,0,0,0,0,0,0,0,0
2021/10/13,13:36:05,-29.23,-0.16,0.3,-0.39,0,0,0,0,0,0,0,0
2021/10/13,13:36:10,-29.22,-0.06,0.4,-0.32,0,0,0,0,0,0,0,0
2021/10/13,13:36:15,-28.98,-0.07,0.4,-0.35,0,0,0,0,0,0,0,0
